backbone_km,n_repeaters,hops,utility,status
0.5,0,1,5.458633815380801,optimal
1.0,0,1,5.425414534431927,optimal
1.5,0,1,5.392195253483053,optimal
2.0,0,1,5.35897597253418,optimal
2.5,0,1,5.3257566915853065,optimal
3.0,0,1,5.292537410636433,optimal
3.5,0,1,5.259318129687559,optimal
4.0,0,1,5.226098848738686,optimal
4.5,0,1,5.192879567789812,optimal
5.0,0,1,5.159660286840938,optimal
5.5,0,1,5.126441005892064,optimal
6.0,0,1,5.0932217249431915,optimal
6.5,0,1,5.060002443994318,optimal
7.0,0,1,5.026783163045444,optimal
7.5,0,1,4.99356388209657,optimal
8.0,0,1,4.960344601147696,optimal
8.5,0,1,4.927125320198823,optimal
9.0,0,1,4.893906039249949,optimal
9.5,0,1,4.8606867583010755,optimal
10.0,0,1,4.827467477352202,optimal
10.5,0,1,4.794248196403328,optimal
11.0,0,1,4.761028915454455,optimal
11.5,0,1,4.727809634505581,optimal
12.0,0,1,4.694590353556708,optimal
12.5,0,1,4.6613710726078335,optimal
13.0,0,1,4.6281517916589605,optimal
13.5,0,1,4.594932510710087,optimal
14.0,0,1,4.561713229761213,optimal
14.5,0,1,4.528493948812339,optimal
15.0,0,1,4.495274667863466,optimal
15.5,0,1,4.462055386914592,optimal
16.0,0,1,4.428836105965718,optimal
16.5,0,1,4.395616825016845,optimal
17.0,0,1,4.362397544067972,optimal
17.5,0,1,4.329178263119098,optimal
18.0,0,1,4.295958982170224,optimal
18.5,0,1,4.26273970122135,optimal
19.0,0,1,4.229520420272477,optimal
19.5,0,1,4.196301139323603,optimal
20.0,0,1,4.1630818583747295,optimal
20.5,0,1,4.129862577425856,optimal
21.0,0,1,4.096643296476982,optimal
21.5,0,1,4.063424015528109,optimal
22.0,0,1,4.030204734579235,optimal
22.5,0,1,3.9969854536303613,optimal
23.0,0,1,3.9637661726814883,optimal
23.5,0,1,3.930546891732614,optimal
24.0,0,1,3.897327610783741,optimal
24.5,0,1,3.8641083298348673,optimal
25.0,0,1,3.830889048885993,optimal
25.5,0,1,3.797669767937119,optimal
26.0,0,1,3.7644504869882462,optimal
26.5,0,1,3.731231206039372,optimal
27.0,0,1,3.698011925090499,optimal
27.5,0,1,3.664792644141625,optimal
28.0,0,1,3.631573363192751,optimal
28.5,0,1,3.5983540822438784,optimal
