spacing_km,n_sites,hardware,budget,served_pairs,total_pairs,n_repeaters,utility,status,mip_gap,n_model_vars
80.0,53,measured,25,0,18,0,-0.0,optimal,0.0,77
80.0,53,measured,53,0,18,0,-0.0,optimal,0.0,77
80.0,53,measured,200,0,18,0,-0.0,optimal,0.0,77
80.0,53,midrange,25,9,18,25,57.792,optimal,0.0,2421
80.0,53,midrange,53,11,18,53,69.943,optimal,0.0,2421
80.0,53,midrange,200,12,18,54,70.806,optimal,0.0,2421
80.0,53,projected,25,15,18,25,156.384,optimal,6.750770133057435e-05,4454
80.0,53,projected,53,18,18,47,200.86,optimal,8.67386141228675e-05,4454
80.0,53,projected,200,18,18,47,200.86,optimal,0.0,4454
40.0,113,measured,25,0,18,0,-0.0,optimal,0.0,137
40.0,113,measured,53,0,18,0,-0.0,optimal,0.0,137
40.0,113,measured,200,0,18,0,-0.0,optimal,0.0,137
40.0,113,midrange,25,7,18,25,53.48,optimal,0.0,4664
40.0,113,midrange,53,11,18,53,72.318,optimal,4.145228089884425e-05,4664
40.0,113,midrange,200,12,18,77,77.642,optimal,3.6437831135014026e-06,4664
40.0,113,projected,25,13,18,25,144.738,feasible_at_limit,0.07449687640865654,6888
40.0,113,projected,53,18,18,53,213.899,optimal,8.502181993013419e-05,6888
40.0,113,projected,200,18,18,116,246.539,optimal,0.0,6888
20.0,232,measured,25,0,18,0,-0.0,optimal,0.0,256
20.0,232,measured,53,0,18,0,-0.0,optimal,0.0,256
20.0,232,measured,200,0,18,0,-0.0,optimal,0.0,256
20.0,232,midrange,25,6,18,25,51.766,optimal,9.023364245038697e-06,6492
20.0,232,midrange,53,10,18,53,71.264,optimal,5.839087803570999e-06,6492
20.0,232,midrange,200,12,18,88,79.6,optimal,0.0,6492
20.0,232,projected,25,6,18,24,80.526,feasible_at_limit,1.0895394938661371,8812
20.0,232,projected,53,16,18,51,185.701,feasible_at_limit,0.14877040549846005,8812
20.0,232,projected,200,18,18,168,259.159,optimal,8.49840461192792e-05,8812
