output,parameter,key,S1,S1_conf,ST,ST_conf
utility,Coherence time T2 (s),t2_s,0.7118548753664121,0.08028582905147152,0.7878677778884997,0.06692002394345109
utility,Generation rate (Hz),generation_rate_hz,0.14765880534835865,0.034151281594985275,0.19305745121201465,0.02410774922199669
utility,Swap success q_s,swap_success,0.05417086067503263,0.026668270637877592,0.08797079287029161,0.013155526405285391
utility,Link fidelity F_L,link_fidelity,0.014016536225193294,0.013823551779566848,0.02935069860914101,0.00541995547351885
served_pairs,Coherence time T2 (s),t2_s,0.8311602157472417,0.07228421180804841,0.9087995414030431,0.06327602623147678
served_pairs,Swap success q_s,swap_success,0.039523880582374854,0.028018645362155904,0.09643495538513559,0.014663027989477289
served_pairs,Generation rate (Hz),generation_rate_hz,0.024207143061733674,0.020289589670140707,0.06491425295736021,0.011323901648532746
served_pairs,Link fidelity F_L,link_fidelity,0.015741637103216362,0.01750137566761819,0.05350994576598473,0.00930272930931653
n_repeaters,Coherence time T2 (s),t2_s,0.8862586794593036,0.06991369760014976,0.9361241616849029,0.06271476268923933
n_repeaters,Generation rate (Hz),generation_rate_hz,0.016125206918207315,0.02544816664161715,0.08401337425640108,0.017582493376316635
n_repeaters,Swap success q_s,swap_success,0.027556643397347765,0.02606626872187656,0.08181302623058911,0.017691740322244232
n_repeaters,Link fidelity F_L,link_fidelity,0.004131020488651955,0.013299337848338174,0.019159866257435994,0.005204017631797714
