output,parameter,key,S1,S1_conf,ST,ST_conf
served_pairs,Coherence time T2 (s),t2_s,0.5770437680318358,0.09699060811375836,0.7176943749011535,0.10616186943300379
served_pairs,Per-swap noise factor,swap_werner,0.0890516473101814,0.05385499130542078,0.1985672496258025,0.03492090074583427
served_pairs,Generation rate (Hz),generation_rate_hz,0.04229284045942788,0.04387537567147735,0.14421982381427584,0.028860700184428007
served_pairs,Link fidelity F_L,link_fidelity,0.04572583322304702,0.040934111407161154,0.11788123683705842,0.022281146725260586
served_pairs,Swap success q_s,swap_success,0.011899361482309807,0.04244971932626354,0.0925704971565129,0.01865938973442643
utility,Coherence time T2 (s),t2_s,0.7044384870302826,0.12250422597941264,0.7809965613833348,0.11596281365915266
utility,Generation rate (Hz),generation_rate_hz,0.1303228917612693,0.05007151011263376,0.1742340505219158,0.03485161929955067
utility,Per-swap noise factor,swap_werner,0.014376827523151354,0.03128903535784878,0.056056574222674016,0.014474135763945403
utility,Swap success q_s,swap_success,0.022106166999963338,0.025862305236477645,0.053253817381568244,0.014231658915469415
utility,Link fidelity F_L,link_fidelity,0.01297889998454809,0.01928279299768155,0.031195136741623313,0.007639702898411724
