output,parameter,key,S1,S1_conf,ST,ST_conf
served_pairs,Coherence time T2 (s),t2_s,0.7515016687849569,0.12907036634844948,0.824147440136759,0.09744556782930659
served_pairs,Generation rate (Hz),generation_rate_hz,0.08068398495271134,0.04837497269854771,0.15120017635583954,0.02886268576604141
served_pairs,Per-swap noise factor,swap_werner,0.06340729226642805,0.04285011317319033,0.10434941748501601,0.02368166343943373
served_pairs,Link fidelity F_L,link_fidelity,-0.012297373498256943,0.023338214181290715,0.048980338819497315,0.01388056091505888
served_pairs,Swap success q_s,swap_success,0.0065087663944678464,0.017209509040145034,0.03513806915311764,0.011685493855268403
utility,Coherence time T2 (s),t2_s,0.9038281740196246,0.15245510392997347,0.911007327650659,0.08869678278950446
utility,Generation rate (Hz),generation_rate_hz,0.048390285292120375,0.024786852419276167,0.047579683285655996,0.009202816127714106
utility,Per-swap noise factor,swap_werner,0.006409725664483817,0.010997994015215857,0.007165322136474253,0.0016262836242316478
utility,Swap success q_s,swap_success,0.0012142148908958713,0.006787601383021334,0.003289319220146661,0.0006817505961634656
utility,Link fidelity F_L,link_fidelity,-0.00047808995858961996,0.004491863870443109,0.0016615809138698903,0.00036137059965229794
