objective,point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,paper_status,paper_utility,paper_repeaters,paper_served,paper_mean_hops,coordinated_status,coordinated_utility,coordinated_repeaters,coordinated_served,coordinated_mean_hops,ext_status,ext_utility,ext_repeaters,ext_served,ext_mean_hops,paper_min_wp,paper_median_wp,coordinated_outcome,coordinated_change_kind,coordinated_regret_bits,coordinated_reverse_regret_bits,coordinated_regret_bits_per_pair,coordinated_site_jaccard,coordinated_sites_only_paper,coordinated_sites_only_other,coordinated_d_repeaters,coordinated_d_served,coordinated_pairs_path_differs,coordinated_pairs_width_differs,coordinated_d_mean_hops,coordinated_d_mean_width,coordinated_rate_gain_bits_common,ext_outcome,ext_change_kind,ext_regret_bits,ext_reverse_regret_bits,ext_regret_bits_per_pair,ext_site_jaccard,ext_sites_only_paper,ext_sites_only_other,ext_d_repeaters,ext_d_served,ext_pairs_path_differs,ext_pairs_width_differs,ext_d_mean_hops,ext_d_mean_width,ext_rate_gain_bits_common
published,midrange,midrange,20000.0,0.01,0.96,0.7,1000000,100,optimal,70.80619843888178,54,12,6.333333333333333,optimal,56.405663360920016,53,11,5.818181818181818,optimal,18.408041920133634,7,3,3.3333333333333335,0.03319923187926317,0.07278289325185956,changed,served_and_memory,0.769090265999651,0.8629876070056781,0.06991729690905918,0.9814814814814815,1,0,-1,-1,0,7,0.0,1.1818181818181819,0.0861393254641696,changed,served_and_memory,197.3400671306116,39.697769730580895,65.78002237687053,0.12962962962962962,47,0,-47,-9,0,3,0.0,81.66666666666667,7.740710910412688
published,midrange,midrange,20000.0,0.01,0.96,0.7,40,100,optimal,66.80960429000373,40,12,7.0,optimal,52.60435830588583,40,10,5.9,optimal,18.408041920133634,7,3,3.3333333333333335,0.030017743045081,0.07278289325185956,changed,routing,1.075766720052421,1.9858613363463462,0.1075766720052421,0.6,10,10,0,-2,2,2,-0.5,0.0,0.16147164515723422,changed,served_and_memory,229.84658170541314,35.70117558170285,76.61552723513772,0.175,33,0,-33,-9,0,3,0.0,73.0,5.6149794621844755
published,midrange,midrange,20000.0,0.01,0.96,0.7,30,100,optimal,59.092241061749164,28,9,5.888888888888889,optimal,48.36436518826498,28,9,5.888888888888889,optimal,18.408041920133634,7,3,3.3333333333333335,0.06044547074134525,0.09682853110646922,identical,,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,changed,served_and_memory,119.24483054031879,27.98381235344828,39.74827684677293,0.25,21,0,-21,-6,0,3,0.0,64.66666666666667,4.4104326949904875
published,midrange,midrange,20000.0,0.01,0.96,0.7,20,100,optimal,51.067544027727116,18,7,5.428571428571429,optimal,43.23744134386702,18,7,5.428571428571429,optimal,18.408041920133634,7,3,3.3333333333333335,0.0640270900528647,0.12331143269440609,tie,,0.0,0.0,0.0,1.0,0,0,0,0,0,2,0.0,0.0,-1.586032892321652e-17,changed,served_and_memory,67.07473066789515,19.959115319426232,22.35824355596505,0.3888888888888889,11,0,-11,-4,0,2,0.0,40.333333333333336,2.417349456103338
published,midrange,midrange,20000.0,0.01,0.96,0.7,15,100,optimal,43.40782497670463,15,5,4.0,optimal,38.230551114551666,15,5,4.0,optimal,18.408041920133634,7,3,3.3333333333333335,0.08153869645085443,0.16394459283656687,tie,,-7.105427357601002e-15,0.0,-1.4210854715202005e-15,1.0,0,0,0,0,0,2,0.0,0.0,-1.3322676295501878e-16,changed,served_and_memory,19.1671670931596,12.299396268403747,6.389055697719866,0.4666666666666667,8,0,-8,-2,0,1,0.0,24.333333333333332,1.5982371772444528
published,midrange,midrange,20000.0,0.01,0.96,0.7,10,100,optimal,34.677475567163995,10,5,4.2,optimal,29.933101339940315,10,5,4.2,optimal,18.408041920133634,7,3,3.3333333333333335,0.0005623413251903491,0.08153869645085443,identical,,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,changed,routing,39.32017306151453,3.5690468588631106,13.106724353838176,0.4166666666666667,5,2,-3,-2,1,1,0.6666666666666666,16.0,4.6217863937593
published,midrange,midrange,20000.0,0.01,0.96,0.7,6,100,optimal,24.387423137400752,6,3,3.0,optimal,22.45897253693466,6,3,3.0,optimal,16.138199398060948,4,2,3.0,0.0036869450645195738,0.23713737056616555,identical,,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,changed,routing,2.93670014102044,2.4418672686166474,1.46835007051022,0.42857142857142855,3,1,-2,-1,1,0,0.5,0.0,2.6672855981817793
published,projected,projected,200000.0,0.1,0.998,0.95,1000000,100,optimal,200.86032806688254,47,18,10.0,optimal,176.78427681979883,47,18,10.0,optimal,32.64934820149412,7,3,3.3333333333333335,0.00012768151750982735,0.04253572014103915,tie,,2.842170943040401e-14,0.0,1.578983857244667e-15,1.0,0,0,0,0,0,4,0.0,0.0,-6.1679056923619804e-18,changed,served_and_memory,578.221151033797,155.5105930772212,192.74038367793233,0.14893617021276595,40,0,-40,-15,0,3,0.0,73.0,5.614979462184476
published,projected,projected,200000.0,0.1,0.998,0.95,40,100,optimal,198.08303735786515,40,18,9.777777777777779,optimal,174.28328807722679,40,17,9.647058823529411,optimal,32.64934820149412,7,3,3.3333333333333335,7.01662127078183e-05,0.050085342836285074,changed,served_and_memory,1.3202800019896301,0.11950570727270815,0.07766352952880178,1.0,0,0,0,-1,0,5,0.0,0.5882352941176471,0.10631499541515317,changed,served_and_memory,675.7086498962462,152.7333023682038,225.2362166320821,0.175,33,0,-33,-15,0,3,0.0,80.66666666666667,9.235965106806212
published,projected,projected,200000.0,0.1,0.998,0.95,30,100,optimal,167.24506138693698,29,16,9.375,optimal,146.91890407313758,30,15,9.4,optimal,32.64934820149412,7,3,3.3333333333333335,3.508310635390915e-05,0.03319923187926317,changed,served_and_memory,1.2977244342034169,0.30454905876686666,0.08651496228022779,0.84375,2,3,1,-1,0,2,0.0,-1.0714285714285714,0.06155733614857006,changed,served_and_memory,604.1813345381322,121.89532639727561,201.3937781793774,0.2413793103448276,22,0,-22,-13,0,3,0.0,77.33333333333333,6.848912076311538
published,projected,projected,200000.0,0.1,0.998,0.95,20,100,optimal,132.17479022786688,20,11,9.0,optimal,117.54235333962187,20,11,9.0,optimal,32.64934820149412,7,3,3.3333333333333335,0.03319923187926317,0.0640270900528647,tie,,0.0,-2.842170943040401e-14,0.0,1.0,0,0,0,0,0,2,0.0,0.0,1.0092936587501423e-17,changed,served_and_memory,278.3805206154667,86.82505523820551,92.79350687182223,0.35,13,0,-13,-8,0,2,0.0,48.666666666666664,3.954431759504285
published,projected,projected,200000.0,0.1,0.998,0.95,15,100,optimal,82.19928334197219,15,7,7.142857142857143,optimal,74.46349028501353,15,7,7.142857142857143,optimal,32.64934820149412,7,3,3.3333333333333335,0.002154434690031887,0.0640270900528647,identical,,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,changed,routing,105.94948240887963,36.84954835231082,35.31649413629321,0.15789473684210525,12,4,-8,-4,1,1,0.5,36.5,5.37057336312094
published,projected,projected,200000.0,0.1,0.998,0.95,10,100,optimal,60.94292594795496,10,5,4.2,optimal,56.198551720731274,10,5,4.2,optimal,32.64934820149412,7,3,3.3333333333333335,0.0005623413251903491,0.15703748946090484,identical,,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,changed,routing,25.359858402823225,15.59319095829359,8.453286134274409,0.4166666666666667,5,2,-3,-2,1,1,0.6666666666666666,24.333333333333332,5.756936878504594
published,projected,projected,200000.0,0.1,0.998,0.95,6,100,optimal,38.06592620099907,6,3,3.0,optimal,36.13747560053298,6,3,3.0,optimal,26.880002320638823,6,3,3.0,0.0036869450645195738,0.23713737056616555,identical,,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,identical,,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0
