objective,point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,paper_status,paper_utility,paper_repeaters,paper_served,paper_mean_hops,coordinated_status,coordinated_utility,coordinated_repeaters,coordinated_served,coordinated_mean_hops,ext_status,ext_utility,ext_repeaters,ext_served,ext_mean_hops,paper_min_wp,paper_median_wp,coordinated_outcome,coordinated_change_kind,coordinated_regret_bits,coordinated_reverse_regret_bits,coordinated_regret_bits_per_pair,coordinated_site_jaccard,coordinated_sites_only_paper,coordinated_sites_only_other,coordinated_d_repeaters,coordinated_d_served,coordinated_pairs_path_differs,coordinated_pairs_width_differs,coordinated_d_mean_hops,coordinated_d_mean_width,coordinated_rate_gain_bits_common,ext_outcome,ext_change_kind,ext_regret_bits,ext_reverse_regret_bits,ext_regret_bits_per_pair,ext_site_jaccard,ext_sites_only_paper,ext_sites_only_other,ext_d_repeaters,ext_d_served,ext_pairs_path_differs,ext_pairs_width_differs,ext_d_mean_hops,ext_d_mean_width,ext_rate_gain_bits_common
serve_first,midrange,midrange,20000.0,0.01,0.96,0.7,1000000,100,optimal,70.69494006809076,55,14,7.214285714285714,optimal,52.37752590383875,55,14,7.214285714285714,optimal,-290.86090237272896,55,14,7.214285714285714,0.030017743045081,0.05916841616414359,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,changed,memory_only,0.9496194851893165,1.4210854715202004e-14,0.06782996322780832,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0678299632278063
serve_first,midrange,midrange,20000.0,0.01,0.96,0.7,40,100,optimal,66.69834591921273,40,14,7.785714285714286,optimal,48.269544394751804,40,14,7.785714285714286,optimal,-311.04520201005266,40,14,7.785714285714286,0.030017743045081,0.0640270900528647,tie,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-7.93016446160826e-18,changed,memory_only,2.5926614451282717,0.0,0.18519010322344798,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1851901032234469
serve_first,midrange,midrange,20000.0,0.01,0.96,0.7,30,100,optimal,29.803174749120945,30,14,6.142857142857143,optimal,14.13570432332365,30,14,6.142857142857143,optimal,-392.6337190255953,30,14,5.285714285714286,7.872778552664888e-05,0.03319923187926317,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,changed,routing,35.29950919285113,72.65960098745349,2.521393513775081,0.36363636363636365,14.0,14.0,0.0,0.0,13.0,8.0,-0.8571428571428571,-1.5714285714285714,2.417611977822573
serve_first,midrange,midrange,20000.0,0.01,0.96,0.7,20,100,optimal,-33.947983035669424,20,14,4.0,optimal,-45.32669581725831,20,14,4.0,optimal,-494.5927969382496,20,14,3.4285714285714284,3.6005078668409747e-07,0.00012972341999134963,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,changed,routing,24.817704994499707,34.70323671484013,1.7726932138928362,0.42857142857142855,8.0,8.0,0.0,0.0,6.0,9.0,-0.5714285714285714,0.5,1.6962826682782866
serve_first,midrange,midrange,20000.0,0.01,0.96,0.7,15,100,optimal,-52.783259495943256,15,13,3.6923076923076925,optimal,-60.62878075287382,15,13,3.6923076923076925,optimal,-457.244254634396,15,13,2.6923076923076925,3.6005078668409747e-07,7.872778552664888e-05,tie,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.5620531337503614e-17,changed,routing,20.887273139060255,47.024008808418344,1.6067133183892504,0.25,9.0,9.0,0.0,0.0,7.0,6.0,-1.0833333333333333,1.5,1.1097980387889965
serve_first,midrange,midrange,20000.0,0.01,0.96,0.7,10,100,optimal,-79.58167706524966,10,11,3.090909090909091,optimal,-84.41980299587568,10,11,3.090909090909091,optimal,-349.1259006162615,10,11,2.090909090909091,8.538149682454624e-10,7.436417499013056e-07,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,changed,routing,52.15381914999159,37.641146014609234,4.741256286362872,0.3333333333333333,5.0,5.0,0.0,0.0,4.0,4.0,-0.8,1.2,1.0568466626740918
serve_first,midrange,midrange,20000.0,0.01,0.96,0.7,6,100,optimal,-96.55216666100567,6,9,1.8888888888888888,optimal,-99.18530939971397,6,9,1.8888888888888888,optimal,-270.7715586603621,6,9,1.8888888888888888,4.427188724235731e-10,3.6005078668409747e-07,tie,,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.578983857244667e-15,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-7.401486830834377e-17,changed,memory_only,1.8950651593221437,1.4210854715202004e-14,0.21056279548023818,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.21056279548023468
serve_first,projected,projected,200000.0,0.1,0.998,0.95,1000000,100,optimal,200.86032806688252,47,18,10.0,optimal,176.78427681979878,47,18,10.0,optimal,-510.1813282454733,55,18,9.38888888888889,0.00012768151750982735,0.05161879346889767,tie,,0.0,-2.842170943040401e-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.850371707708594e-17,changed,routing,32.79838961467726,2.012360965664101,1.822132756370959,0.7894736842105263,2.0,10.0,8.0,0.0,4.0,5.0,-0.6111111111111112,-0.7222222222222222,1.8185498033671026
serve_first,projected,projected,200000.0,0.1,0.998,0.95,40,100,optimal,198.08303735786512,40,18,9.777777777777779,optimal,172.96300807523713,40,18,9.777777777777779,optimal,-563.6098748566627,40,18,9.166666666666666,2.004748934509094e-05,0.06095922581990331,tie,,0.0,-2.842170943040401e-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,changed,routing,62.518241305702645,32.046533304822304,3.4732356280945913,0.7021276595744681,7.0,7.0,0.0,0.0,7.0,6.0,-0.6111111111111112,-1.0,3.4696711200816237
serve_first,projected,projected,200000.0,0.1,0.998,0.95,30,100,optimal,165.41044340810814,30,18,8.722222222222221,optimal,141.9200551685673,30,18,8.722222222222221,optimal,-698.5947038859059,30,18,9.055555555555555,7.01662127078183e-05,0.03319923187926317,tie,,-2.842170943040401e-14,0.0,-1.578983857244667e-15,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.850371707708594e-17,changed,routing,84.33323574200165,35.223280668531174,4.685179763444536,0.6216216216216216,7.0,7.0,0.0,0.0,7.0,6.0,0.3333333333333333,-0.7777777777777778,4.6871874999961305
