point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,paper_status,paper_utility,paper_repeaters,paper_served,paper_mean_hops,coordinated_status,coordinated_utility,coordinated_repeaters,coordinated_served,coordinated_mean_hops,paper_min_wp,paper_median_wp,coordinated_outcome,coordinated_change_kind,coordinated_regret_bits,coordinated_reverse_regret_bits,coordinated_regret_bits_per_pair,coordinated_site_jaccard,coordinated_sites_only_paper,coordinated_sites_only_other,coordinated_d_repeaters,coordinated_d_served,coordinated_pairs_path_differs,coordinated_pairs_width_differs,coordinated_d_mean_hops,coordinated_d_mean_width,coordinated_rate_gain_bits_common
midrange,midrange,20000.0,0.01,0.96,0.7,1000000,2048,optimal,134.02356056214217,55,14,7.214285714285714,optimal,115.70614639789015,55,14,7.214285714285714,0.5488958728243383,1.3801793090722998,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midrange,midrange,20000.0,0.01,0.96,0.7,20,2048,optimal,44.2670589449292,20,14,4.214285714285714,optimal,33.184487397875465,20,14,4.214285714285714,0.0011769010906390318,0.0037743415412384226,changed,routing,0.2183825257612355,7.105427357601002e-15,0.015598751840088252,0.7391304347826086,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.015598751840088259
midrange,midrange,20000.0,0.01,0.96,0.7,10,2048,optimal,-43.408443232974136,10,12,2.9166666666666665,optimal,-47.94350744716982,10,12,2.9166666666666665,1.6190861620062102e-08,1.0241444599014328e-05,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projected,projected,200000.0,0.1,0.998,0.95,1000000,2048,optimal,281.79210865624424,47,18,10.0,optimal,258.250994676045,47,18,9.88888888888889,0.004669495497502257,1.122008484297834,changed,routing,0.601379820649413,0.2759795065459798,0.0334099900360785,1.0,0.0,0.0,0.0,0.0,4.0,6.0,-0.1111111111111111,0.0,0.03274207931272323
projected,projected,200000.0,0.1,0.998,0.95,20,2048,optimal,161.65470888763141,20,18,6.111111111111111,optimal,143.52904466935303,20,18,6.277777777777778,0.0006415196590429101,0.002722633110573114,changed,routing,0.47709712688120476,0.23950676376838942,0.02650539593784471,0.7391304347826086,3.0,3.0,0.0,0.0,4.0,8.0,0.16666666666666666,0.0,0.02747789701768228
projected,projected,200000.0,0.1,0.998,0.95,10,2048,optimal,-88.80736305451843,10,16,3.25,optimal,-96.01858302525206,10,16,3.25,4.047715405015526e-09,2.9388583350259428e-08,tie,,0.0,-1.4210854715202004e-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.7755575615628914e-17
lhs000,lhs,79018.17205913966,0.06992704995212132,0.9301802361961763,0.7310530218138814,1000000,2048,optimal,130.70727156293458,54,18,6.611111111111111,optimal,109.00927662569791,54,18,6.611111111111111,0.0011769010906390318,0.673110125948206,tie,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,9.868649107779169e-17
lhs000,lhs,79018.17205913966,0.06992704995212132,0.9301802361961763,0.7310530218138814,20,2048,optimal,47.073750306134,20,18,5.888888888888889,optimal,30.84413229323533,20,18,5.888888888888889,3.4138148663381095e-06,0.002722633110573114,changed,routing,0.203422356548014,0.0,0.011301242030445222,0.8181818181818182,2.0,2.0,0.0,0.0,5.0,8.0,0.0,0.0,0.011301242030444903
lhs000,lhs,79018.17205913966,0.06992704995212132,0.9301802361961763,0.7310530218138814,10,2048,optimal,-136.2664918604175,10,16,3.25,optimal,-143.47771183115114,10,16,3.25,8.095430810031051e-09,2.9388583350259428e-08,tie,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3877787807814457e-17
lhs001,lhs,17860.73835116323,0.0032412526836931082,0.9372069370453744,0.9433169234171821,1000000,2048,optimal,45.88019970896502,7,3,3.3333333333333335,optimal,43.08174039504824,7,3,3.3333333333333335,4.85657334919507,9.505973931238978,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
