point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,statuses_ok,base_paper_served,base_paper_repeaters,base_coord_served,base_coord_repeaters,unreachable_storage_heralded,median_wait_over_t2_storage_heralded,unreachable_storage_source,median_wait_over_t2_storage_source,unreachable_slowest_heralded,median_wait_over_t2_slowest_heralded,base_coord_kind,base_coord_d_served,base_coord_d_repeaters,base_coord_site_jaccard,base_coord_pairs_path_differs,base_coord_pairs_width_differs,base_coord_d_mean_hops,base_coord_d_mean_width,base_coord_d_mean_worst_link_km,wait_paper_storage_heralded_kind,wait_paper_storage_heralded_served,wait_paper_storage_heralded_repeaters,wait_paper_storage_heralded_d_served,wait_paper_storage_heralded_d_repeaters,wait_paper_storage_heralded_site_jaccard,wait_paper_storage_heralded_pairs_path_differs,wait_paper_storage_heralded_pairs_width_differs,wait_paper_storage_heralded_d_mean_hops,wait_paper_storage_heralded_d_mean_width,wait_paper_storage_heralded_d_mean_worst_link_km,wait_coord_storage_heralded_kind,wait_coord_storage_heralded_served,wait_coord_storage_heralded_repeaters,wait_coord_storage_heralded_d_served,wait_coord_storage_heralded_d_repeaters,wait_coord_storage_heralded_site_jaccard,wait_coord_storage_heralded_pairs_path_differs,wait_coord_storage_heralded_pairs_width_differs,wait_coord_storage_heralded_d_mean_hops,wait_coord_storage_heralded_d_mean_width,wait_coord_storage_heralded_d_mean_worst_link_km,wait_paper_storage_source_kind,wait_paper_storage_source_served,wait_paper_storage_source_repeaters,wait_paper_storage_source_d_served,wait_paper_storage_source_d_repeaters,wait_paper_storage_source_site_jaccard,wait_paper_storage_source_pairs_path_differs,wait_paper_storage_source_pairs_width_differs,wait_paper_storage_source_d_mean_hops,wait_paper_storage_source_d_mean_width,wait_paper_storage_source_d_mean_worst_link_km,wait_coord_storage_source_kind,wait_coord_storage_source_served,wait_coord_storage_source_repeaters,wait_coord_storage_source_d_served,wait_coord_storage_source_d_repeaters,wait_coord_storage_source_site_jaccard,wait_coord_storage_source_pairs_path_differs,wait_coord_storage_source_pairs_width_differs,wait_coord_storage_source_d_mean_hops,wait_coord_storage_source_d_mean_width,wait_coord_storage_source_d_mean_worst_link_km,wait_paper_slowest_heralded_kind,wait_paper_slowest_heralded_served,wait_paper_slowest_heralded_repeaters,wait_paper_slowest_heralded_d_served,wait_paper_slowest_heralded_d_repeaters,wait_paper_slowest_heralded_site_jaccard,wait_paper_slowest_heralded_pairs_path_differs,wait_paper_slowest_heralded_pairs_width_differs,wait_paper_slowest_heralded_d_mean_hops,wait_paper_slowest_heralded_d_mean_width,wait_paper_slowest_heralded_d_mean_worst_link_km,wait_coord_slowest_heralded_kind,wait_coord_slowest_heralded_served,wait_coord_slowest_heralded_repeaters,wait_coord_slowest_heralded_d_served,wait_coord_slowest_heralded_d_repeaters,wait_coord_slowest_heralded_site_jaccard,wait_coord_slowest_heralded_pairs_path_differs,wait_coord_slowest_heralded_pairs_width_differs,wait_coord_slowest_heralded_d_mean_hops,wait_coord_slowest_heralded_d_mean_width,wait_coord_slowest_heralded_d_mean_worst_link_km
midrange,midrange,20000.0,0.01,0.96,0.7,1000000,100,1,12,54,11,53,11,2.740645163103129,1,0.6316047546906531,6,1.0258360281126273,served_and_memory,-1,-1,0.9814814814814815,0,7,0.0,1.1818181818181819,0.0,served_and_memory,3,7,-9,-47,0.12962962962962962,0,3,0.0,81.66666666666667,0.0,served_and_memory,3,7,-9,-47,0.12962962962962962,0,3,0.0,81.66666666666667,0.0,served_and_memory,11,53,-1,-1,0.9814814814814815,0,7,0.0,1.1818181818181819,0.0,served_and_memory,11,53,-1,-1,0.9814814814814815,0,7,0.0,1.1818181818181819,0.0,served_and_memory,7,30,-5,-24,0.5555555555555556,0,3,0.0,14.0,0.0,served_and_memory,7,30,-5,-24,0.5555555555555556,0,3,0.0,14.0,0.0
midrange,midrange,20000.0,0.01,0.96,0.7,20,100,1,7,18,7,18,4,1.8371155790470235,0,0.48755846371581585,1,0.6074946715088154,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,served_and_memory,3,7,-4,-11,0.3888888888888889,0,2,0.0,40.333333333333336,0.0,served_and_memory,3,7,-4,-11,0.3888888888888889,0,2,0.0,40.333333333333336,0.0,memory_only,7,18,0,0,1.0,0,4,0.0,0.0,0.0,memory_only,7,18,0,0,1.0,0,4,0.0,0.0,0.0,routing,6,20,-1,2,0.7272727272727273,1,2,-0.5,0.0,1.0,routing,6,20,-1,2,0.7272727272727273,1,2,-0.5,0.0,1.0
midrange,midrange,20000.0,0.01,0.96,0.7,10,100,1,5,10,5,10,3,2.1968418775077474,1,0.48755846371581585,1,0.881682318504573,identical,0,0,1.0,0,0,0.0,0.0,0.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,16.0,-25.0,routing,3,7,-2,-3,0.4166666666666667,1,1,0.6666666666666666,16.0,-25.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,served_set_only,4,9,-1,-1,0.9,0,0,0.0,0.0,0.0,served_set_only,4,9,-1,-1,0.9,0,0,0.0,0.0,0.0
projected,projected,200000.0,0.1,0.998,0.95,1000000,100,1,18,47,18,47,1,0.5406241867714158,0,0.06610074742257283,1,0.1784204349162627,memory_only,0,0,1.0,0,4,0.0,0.0,0.0,routing,17,47,-1,0,1.0,1,5,-0.17647058823529413,0.7647058823529411,0.25210084033613483,routing,17,47,-1,0,1.0,1,5,-0.17647058823529413,0.7647058823529411,0.25210084033613483,memory_only,18,47,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,18,47,0,0,1.0,0,4,0.0,0.0,0.0,routing,17,47,-1,0,1.0,1,5,-0.17647058823529413,0.7647058823529411,0.25210084033613483,routing,17,47,-1,0,1.0,1,5,-0.17647058823529413,0.7647058823529411,0.25210084033613483
projected,projected,200000.0,0.1,0.998,0.95,20,100,1,11,20,11,20,0,0.4984092014796768,0,0.06390037129047726,0,0.11699897377206817,memory_only,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,2,0.0,0.0,0.0,identical,11,20,0,0,1.0,0,0,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,2,0.0,0.0,0.0
projected,projected,200000.0,0.1,0.998,0.95,10,100,1,5,10,5,10,1,0.1313744821013638,0,0.03666232279237058,1,0.04577965884542974,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,served_and_memory,4,9,-1,-1,0.9,0,2,0.0,0.0,0.0,memory_only,5,10,0,0,1.0,0,2,0.0,0.0,0.0,identical,5,10,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,4,9,-1,-1,0.9,0,0,0.0,0.0,0.0,served_set_only,4,9,-1,-1,0.9,0,0,0.0,0.0,0.0
lhs000,lhs,16902.270239971855,0.001250530864611733,0.9422723118434982,0.5935851288295675,1000000,100,1,0,0,0,0,0,,0,,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs000,lhs,16902.270239971855,0.001250530864611733,0.9422723118434982,0.5935851288295675,20,100,1,0,0,0,0,0,,0,,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs000,lhs,16902.270239971855,0.001250530864611733,0.9422723118434982,0.5935851288295675,10,100,1,0,0,0,0,0,,0,,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs001,lhs,28926.950711125424,0.059796059746219134,0.9253501635141934,0.6758579795561722,1000000,100,1,11,53,11,53,1,0.40888742384055904,0,0.0958486109423308,0,0.19566335017495184,memory_only,0,0,1.0,0,4,0.0,0.0,0.0,memory_only,11,53,0,0,1.0,0,5,0.0,-2.272727272727273,0.0,served_and_memory,10,46,-1,-7,0.8679245283018868,0,2,0.0,0.0,0.0,memory_only,11,53,0,0,1.0,0,4,0.0,0.0,0.0,identical,11,53,0,0,1.0,0,0,0.0,0.0,0.0,memory_only,11,53,0,0,1.0,0,2,0.0,0.0,0.0,memory_only,11,53,0,0,1.0,0,2,0.0,0.0,0.0
