point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,statuses_ok,base_paper_served,base_paper_repeaters,base_coord_served,base_coord_repeaters,unreachable_storage_heralded,median_wait_over_t2_storage_heralded,base_coord_kind,base_coord_d_served,base_coord_d_repeaters,base_coord_site_jaccard,base_coord_pairs_path_differs,base_coord_pairs_width_differs,base_coord_d_mean_hops,base_coord_d_mean_width,base_coord_d_mean_worst_link_km,wait_paper_storage_heralded_kind,wait_paper_storage_heralded_served,wait_paper_storage_heralded_repeaters,wait_paper_storage_heralded_d_served,wait_paper_storage_heralded_d_repeaters,wait_paper_storage_heralded_site_jaccard,wait_paper_storage_heralded_pairs_path_differs,wait_paper_storage_heralded_pairs_width_differs,wait_paper_storage_heralded_d_mean_hops,wait_paper_storage_heralded_d_mean_width,wait_paper_storage_heralded_d_mean_worst_link_km,wait_coord_storage_heralded_kind,wait_coord_storage_heralded_served,wait_coord_storage_heralded_repeaters,wait_coord_storage_heralded_d_served,wait_coord_storage_heralded_d_repeaters,wait_coord_storage_heralded_site_jaccard,wait_coord_storage_heralded_pairs_path_differs,wait_coord_storage_heralded_pairs_width_differs,wait_coord_storage_heralded_d_mean_hops,wait_coord_storage_heralded_d_mean_width,wait_coord_storage_heralded_d_mean_worst_link_km
midrange,midrange,20000.0,0.01,0.96,0.7,1000000,2048,1,14,55,14,55,3,0.6216197381572377,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_and_memory,12,54,-2,-1,0.9818181818181818,0,6,0.0,21.333333333333332,0.0,served_and_memory,12,54,-2,-1,0.9818181818181818,0,5,0.0,42.666666666666664,0.0
midrange,midrange,20000.0,0.01,0.96,0.7,20,2048,1,9,20,9,20,2,0.6021161867148183,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_and_memory,7,18,-2,-2,0.46153846153846156,0,4,0.0,307.2,0.0,served_and_memory,7,18,-2,-2,0.46153846153846156,0,4,0.0,307.2,0.0
midrange,midrange,20000.0,0.01,0.96,0.7,10,2048,1,5,10,5,10,1,0.4084323541920988,identical,0,0,1.0,0,0,0.0,0.0,0.0,served_set_only,4,9,-1,-1,0.9,0,0,0.0,0.0,0.0,served_set_only,4,9,-1,-1,0.9,0,0,0.0,0.0,0.0
projected,projected,200000.0,0.1,0.998,0.95,1000000,2048,1,18,47,18,47,1,0.0842660494975295,routing,0,0,1.0,3,0,-0.16666666666666666,0.0,0.20833333333333334,routing,17,47,-1,0,1.0,3,6,-0.17647058823529413,30.11764705882353,0.22058823529411764,routing,17,47,-1,0,1.0,3,6,-0.17647058823529413,30.11764705882353,0.22058823529411764
projected,projected,200000.0,0.1,0.998,0.95,20,2048,1,11,20,11,20,0,0.09199523324219631,memory_only,0,0,1.0,0,6,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,6,0.0,0.0,0.0,memory_only,11,20,0,0,1.0,0,6,0.0,0.0,0.0
projected,projected,200000.0,0.1,0.998,0.95,10,2048,1,5,10,5,10,1,0.04084323541920988,identical,0,0,1.0,0,0,0.0,0.0,0.0,routing,5,10,0,0,0.6666666666666666,2,0,0.0,0.0,11.666666666666663,routing,5,10,0,0,0.6666666666666666,2,0,0.0,0.0,11.666666666666663
lhs000,lhs,16902.270239971855,0.001250530864611733,0.9422723118434982,0.5935851288295675,1000000,2048,1,0,0,0,0,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs000,lhs,16902.270239971855,0.001250530864611733,0.9422723118434982,0.5935851288295675,20,2048,1,0,0,0,0,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs000,lhs,16902.270239971855,0.001250530864611733,0.9422723118434982,0.5935851288295675,10,2048,1,0,0,0,0,0,,identical,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,,identical,0,0,0,0,1.0,0,0,,,
lhs001,lhs,28926.950711125424,0.059796059746219134,0.9253501635141934,0.6758579795561722,1000000,2048,1,11,53,11,53,0,0.08703574536638073,identical,0,0,1.0,0,0,0.0,0.0,0.0,identical,11,53,0,0,1.0,0,0,0.0,0.0,0.0,identical,11,53,0,0,1.0,0,0,0.0,0.0,0.0
