point,budget,memories,plan,pair,hops,width,max_link_km,wp_min,tau_e2e_ms,storage_ms_heralded,slowest_ms_heralded,t2_ms,repeaters
midrange,1000000,2048,base_paper,Calgary-Edmonton,4,256,75.0,0.6070716686493838,3.0,5.262289587058936,1.2339735515022814,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,1000000,2048,base_paper,Calgary-Kamloops,8,256,75.0,0.6070716686493838,6.0,9.199523324219632,1.2339735515022814,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,2048,base_paper,Calgary-Kelowna,8,512,76.2,1.0977917456486765,6.1000000000000005,7.899008888137292,0.6938312873278984,10.0,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
midrange,1000000,2048,base_paper,Calgary-Saskatoon,8,512,80.0,0.8114653145400904,6.4,8.954201011368609,0.985089394220302,10.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7
midrange,1000000,2048,base_paper,Calgary-Vancouver,13,512,75.0,1.2141433372987676,9.600000000000001,11.361978870216694,0.6169867757511408,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,1000000,2048,base_paper,Edmonton-Kamloops,12,256,75.0,0.6070716686493838,9.000000000000002,12.726455836714054,1.2339735515022814,10.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,2048,base_paper,Edmonton-Kelowna,12,512,76.2,1.0977917456486765,9.1,11.12344774365539,0.6938312873278984,10.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
midrange,1000000,2048,base_paper,Edmonton-Saskatoon,7,1024,75.7,2.2924504458939827,5.299999999999999,6.108273274338895,0.32990681480513917,10.0,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
midrange,1000000,2048,base_paper,Kamloops-Kelowna,3,512,63.3,3.1088752419378607,1.9000000000000001,2.2046487631940646,0.20309871751833578,10.0,KAM-KEL:1;KAM-KEL:2
midrange,1000000,2048,base_paper,Kamloops-Vancouver,5,1024,72.0,3.0924305616916645,3.6000000000000005,4.0843235419209885,0.23247483007444797,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,1000000,2048,base_paper,Kelowna-Vancouver,5,512,78.0,0.9533886139713892,3.9,5.602862655382838,0.8173724219146685,10.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1
midrange,1000000,2048,base_paper,Montreal-Ottawa,3,1024,66.7,4.752986965619489,2.0,2.20990582612762,0.1399369018904885,10.0,OTT-MON:2;OTT-MON:1
midrange,1000000,2048,base_paper,Montreal-Toronto,7,1024,77.1,2.043148610528134,5.3999999999999995,6.324121488805857,0.37719170798302903,10.0,TOR-MON:6;TOR-MON:5;TOR-MON:4;TOR-MON:3;TOR-MON:2;TOR-MON:1
midrange,1000000,2048,base_paper,Ottawa-Toronto,6,1024,75.0,2.428286674597535,4.500000000000001,5.204394629984817,0.30849338787557035,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,1000000,2048,base_coord,Calgary-Edmonton,4,256,75.0,0.6070716686493838,3.0,5.262289587058936,1.2339735515022814,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,1000000,2048,base_coord,Calgary-Kamloops,8,256,75.0,0.6070716686493838,6.0,9.199523324219632,1.2339735515022814,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,2048,base_coord,Calgary-Kelowna,8,512,76.2,1.0977917456486765,6.1000000000000005,7.899008888137292,0.6938312873278984,10.0,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
midrange,1000000,2048,base_coord,Calgary-Saskatoon,8,512,80.0,0.8114653145400904,6.4,8.954201011368609,0.985089394220302,10.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7
midrange,1000000,2048,base_coord,Calgary-Vancouver,13,512,75.0,1.2141433372987676,9.600000000000001,11.361978870216694,0.6169867757511408,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,1000000,2048,base_coord,Edmonton-Kamloops,12,256,75.0,0.6070716686493838,9.000000000000002,12.726455836714054,1.2339735515022814,10.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,2048,base_coord,Edmonton-Kelowna,12,512,76.2,1.0977917456486765,9.1,11.12344774365539,0.6938312873278984,10.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
midrange,1000000,2048,base_coord,Edmonton-Saskatoon,7,1024,75.7,2.2924504458939827,5.299999999999999,6.108273274338895,0.32990681480513917,10.0,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
midrange,1000000,2048,base_coord,Kamloops-Kelowna,3,512,63.3,3.1088752419378607,1.9000000000000001,2.2046487631940646,0.20309871751833578,10.0,KAM-KEL:1;KAM-KEL:2
midrange,1000000,2048,base_coord,Kamloops-Vancouver,5,1024,72.0,3.0924305616916645,3.6000000000000005,4.0843235419209885,0.23247483007444797,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,1000000,2048,base_coord,Kelowna-Vancouver,5,512,78.0,0.9533886139713892,3.9,5.602862655382838,0.8173724219146685,10.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1
midrange,1000000,2048,base_coord,Montreal-Ottawa,3,1024,66.7,4.752986965619489,2.0,2.20990582612762,0.1399369018904885,10.0,OTT-MON:2;OTT-MON:1
midrange,1000000,2048,base_coord,Montreal-Toronto,7,1024,77.1,2.043148610528134,5.3999999999999995,6.324121488805857,0.37719170798302903,10.0,TOR-MON:6;TOR-MON:5;TOR-MON:4;TOR-MON:3;TOR-MON:2;TOR-MON:1
midrange,1000000,2048,base_coord,Ottawa-Toronto,6,1024,75.0,2.428286674597535,4.500000000000001,5.204394629984817,0.30849338787557035,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,1000000,2048,wait_paper_storage_heralded,Calgary-Edmonton,4,512,75.0,1.2141433372987676,3.0,4.131144793529469,0.6169867757511408,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,1000000,2048,wait_paper_storage_heralded,Calgary-Kamloops,8,256,75.0,0.6070716686493838,6.0,9.199523324219632,1.2339735515022814,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,2048,wait_paper_storage_heralded,Calgary-Kelowna,8,512,76.2,1.0977917456486765,6.1000000000000005,7.899008888137292,0.6938312873278984,10.0,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
