case,t2_ms,budget,published_pairs,published_repeaters,published_median_storage_over_t2,hard_gate_unreachable,hard_gate_pairs,hard_gate_repeaters,published_mean_F,published_mean_F_decayed,published_pairs_broken_by_decay,decay_pairs,decay_repeaters,decay_rerouted,decay_rewidthed,decay_regret_bits_per_pair,opt_published_mean_F_decayed,opt_published_pairs_broken,opt_pairs,opt_repeaters
"midrange, T2 10 ms (preset)",10.0,1000000,12,54,3.377551985379033,11,3,7,0.7847561092322,0.5,12,2,4,0,2,8.329067398569078,0.5013133335131431,11,2,4
"midrange, T2 10 ms (preset)",10.0,20,7,18,1.5762879845379594,4,3,7,0.8109570442019912,0.5,7,2,4,0,2,8.329067398569078,0.5022514288796739,6,2,4
"midrange, T2 10 ms (preset)",10.0,10,5,10,2.1968418775077474,3,3,7,0.8497400502061504,0.5085596997891516,4,2,4,0,1,4.5265870597622815,0.5342127615966986,3,2,4
"midrange, T2 112 ms (measured)",112.0,1000000,12,54,0.20722444464520165,0,12,54,0.7847561092322,0.5477119707761385,8,4,11,0,3,2.9739518111729755,0.618478406183562,3,9,39
"midrange, T2 112 ms (measured)",112.0,20,7,18,0.14073999861946065,0,7,18,0.8109570442019912,0.6076455772907214,4,4,11,0,2,2.119782893932163,0.6929278801245832,0,7,18
"midrange, T2 112 ms (measured)",112.0,10,5,10,0.19614659620604888,1,4,9,0.8497400502061504,0.6323998058270895,3,3,7,1,1,3.1697007317526045,0.6860045504461593,1,4,9
"projected, T2 100 ms (preset)",100.0,1000000,18,47,0.5162795593857291,1,17,47,0.9803050043093777,0.5392907963104966,14,6,20,1,4,4.123597810068202,0.6208506186451191,9,14,47
"projected, T2 100 ms (preset)",100.0,20,11,20,0.36336221148156506,0,11,20,0.9822486696065595,0.5816749969260652,7,6,20,1,3,3.5183156814995074,0.6558996816672311,5,8,20
"projected, T2 100 ms (preset)",100.0,10,5,10,0.1313744821013638,1,4,9,0.991647807145515,0.6933624125111509,2,4,9,0,2,1.4339393013275288,0.784939422417781,1,4,9
"projected, T2 112 ms (measured)",112.0,1000000,18,47,0.4609638923086868,1,17,47,0.9803050043093777,0.5439844213651196,14,6,20,1,4,4.267034459603006,0.6314726916143646,8,14,47
"projected, T2 112 ms (measured)",112.0,20,11,20,0.3244305459656831,0,11,20,0.9822486696065595,0.5880477930863722,7,6,20,1,3,3.6762655869118555,0.6659988070801656,4,9,20
"projected, T2 112 ms (measured)",112.0,10,5,10,0.11729864473336053,1,4,9,0.991647807145515,0.7018554069871209,2,4,9,0,2,1.8626169788048283,0.7947424448836321,1,4,9
